EXPECTATION,CALL_MAN,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT,EXACT_RANGE_EXP_2,
0,0,0,413000,157000,
0,0,0,420200,149800,
0,0,0,419900,150100,
0,0,0,416900,153100,
0,0,0,418700,151300,
0,0,0,418700,151300,
0,0,0,418700,151300,
0,0,0,414500,155500,
0,0,0,414500,155500,
0,0,0,419900,150100,
0,0,0,427100,142900,
0,0,0,427100,142900,
0,0,0,433100,136900,
0,0,0,439100,130900,
0,0,0,435500,134500,
0,0,0,431900,138100,
0,0,0,431900,138100,
0,0,0,431600,138400,
0,0,0,429800,140200,
0,0,0,437000,133000,
0,0,0,437000,133000,
0,0,0,437000,133000,
0,0,0,432800,137200,
0,0,0,433400,136600,
0,0,0,433400,136600,
0,0,0,433400,136600,
0,0,0,433400,136600,
0,0,0,439400,130600,
0,0,0,440000,130000,
0,0,0,440000,130000,
0,0,0,438200,131800,
0,0,0,438200,131800,
0,0,0,437900,132100,
0,0,0,443900,126100,
0,0,0,442100,127900,
0,0,0,449300,120700,
0,0,0,456500,113500,
0,0,0,462500,107500,
0,0,0,462500,107500,
0,0,0,462500,107500,
0,0,0,463700,106300,
0,0,0,461900,108100,
0,0,0,466100,103900,
0,0,0,465500,104500,
0,0,0,470900,99100,
0,0,0,476300,93700,
0,0,0,479900,90100,
0,0,0,475700,94300,
0,0,0,476300,93700,
0,0,0,476300,93700,
0,0,0,476300,93700,
0,0,0,476300,93700,
0,0,0,476000,94000,
0,0,0,475400,94600,
0,0,0,482600,87400,
0,0,0,477200,92800,
0,0,0,477200,92800,
0,0,0,483200,86800,
0,0,0,483800,86200,
0,0,0,483800,86200,
0,0,0,483800,86200,
0,0,0,478400,91600,
0,0,0,477800,92200,
0,0,0,477200,92800,
0,0,0,477200,92800,
0,0,0,477200,92800,
0,0,0,475400,94600,
0,0,0,476000,94000,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,465200,104800,
0,0,0,464600,105400,
0,0,0,462800,107200,
0,0,0,462800,107200,
0,0,0,466400,103600,
0,0,0,466100,103900,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,458300,111700,
0,0,0,458000,112000,
0,0,0,457400,112600,
0,0,0,457400,112600,
0,0,0,457400,112600,
0,0,0,450200,119800,
0,0,0,449900,120100,
0,0,0,455900,114100,
0,0,0,455900,114100,
0,0,0,461300,108700,
0,0,0,461300,108700,
0,0,0,467300,102700,
0,0,0,466700,103300,
0,0,0,466700,103300,
0,0,0,464900,105100,
0,0,0,464900,105100,
0,0,0,464600,105400,
0,0,0,470600,99400,
0,0,0,470600,99400,
0,0,0,470600,99400,
0,0,0,470600,99400,
0,0,0,470000,100000,
0,0,0,470600,99400,
0,0,0,463400,106600,
0,0,0,463400,106600,
0,0,0,468200,101800,
0,0,0,468800,101200,
0,0,0,468200,101800,
0,0,0,466400,103600,
0,0,0,466400,103600,
0,0,0,466400,103600,
0,0,0,466100,103900,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,465500,104500,
0,0,0,466100,103900,
0,0,0,466700,103300,
0,0,0,459500,110500,
0,0,0,459500,110500,
0,0,0,455900,114100,
0,0,0,449900,120100,
0,0,0,446900,123100,
0,0,0,446900,123100,
0,0,0,446900,123100,
0,0,0,446900,123100,
0,0,0,452900,117100,
0,0,0,458900,111100,
0,0,0,458900,111100,
0,0,0,458900,111100,
0,0,0,458900,111100,
0,0,0,458600,111400,
0,0,0,458000,112000,
0,0,0,463400,106600,
0,0,0,459800,110200,
0,0,0,467000,103000,
0,0,0,466700,103300,
0,0,0,467300,102700,
0,0,0,469100,100900,
0,0,0,469100,100900,
0,0,0,465500,104500,
0,0,0,465200,104800,
0,0,0,465800,104200,
0,0,0,469400,100600,
0,0,0,476600,93400,
0,0,0,476600,93400,
0,0,0,482600,87400,
0,0,0,483200,86800,
0,0,0,490400,79600,
0,0,0,490400,79600,
