SIMPLE_RANGE,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,38700,10900
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,37500,12100
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37500,12100
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37500,12100
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37500,12100
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,39300,10300
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37500,12100
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37500,12100
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,38400,11200
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38400,11200
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,39300,10300
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39300,10300
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39300,10300
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39300,10300
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39300,10300
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39300,10300
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,40500,9100
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39600,10000
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,40500,9100
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40500,9100
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40500,9100
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40500,9100
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40500,9100
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40500,9100
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40800,8800
200,100,100,40500,9100
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39600,10000
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39600,10000
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39600,10000
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39900,9700
200,100,100,39600,10000
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,39000,10600
200,100,100,39300,10300
200,100,100,39300,10300
200,100,100,39300,10300
200,100,100,39300,10300
200,100,100,39000,10600
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39600,10000
200,100,100,39300,10300
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38400,11200
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38400,11200
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,38700,10900
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37200,12400
200,100,100,38400,11200
200,100,100,38400,11200
200,100,100,38400,11200
200,100,100,38400,11200
200,100,100,38100,11500
200,100,100,38400,11200
200,100,100,38400,11200
200,100,100,38400,11200
200,100,100,38400,11200
200,100,100,38100,11500
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
