EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,
0,136500,0,223650,179850,0,
0,136500,0,223650,179850,0,
0,137100,0,223050,179850,0,
0,122700,0,212250,205050,0,
0,122700,0,211650,205650,0,
0,123000,0,211650,205350,0,
0,151800,0,197250,190950,0,
0,151800,0,197250,190950,0,
0,151500,0,208950,179550,0,
0,151500,0,208950,179550,0,
0,151500,0,204750,183750,0,
0,151800,0,204750,183450,0,
0,148200,0,204750,187050,0,
0,148200,0,213750,178050,0,
0,147900,0,214050,178050,0,
0,147900,0,214050,178050,0,
0,168600,0,213750,157650,0,
0,169200,0,213750,157050,0,
0,169200,0,226350,144450,0,
0,169200,0,226350,144450,0,
0,181200,0,225750,133050,0,
0,181200,0,225750,133050,0,
0,181200,0,226350,132450,0,
0,180600,0,238350,121050,0,
0,180600,0,238350,121050,0,
0,173400,0,245550,121050,0,
0,172800,0,246150,121050,0,
0,171000,0,247950,121050,0,
0,171000,0,248550,120450,0,
0,171300,0,248550,120150,0,
0,171300,0,248550,120150,0,
0,167700,0,252150,120150,0,
0,167400,0,238950,133650,0,
0,167400,0,238950,133650,0,
0,167400,0,239550,133050,0,
0,166800,0,240750,132450,0,
0,166800,0,240750,132450,0,
0,166800,0,240750,132450,0,
0,167400,0,240150,132450,0,
0,167400,0,240150,132450,0,
0,167400,0,239850,132750,0,
0,166800,0,239850,133350,0,
0,177600,0,229050,133350,0,
0,170400,0,229050,140550,0,
0,170100,0,229350,140550,0,
0,170100,0,229350,140550,0,
0,171000,0,229050,139950,0,
0,171600,0,229050,139350,0,
0,168000,0,232650,139350,0,
0,168000,0,232650,139350,0,
0,167700,0,232950,139350,0,
0,171300,0,229350,139350,0,
0,171300,0,214350,154350,0,
0,171600,0,214350,154050,0,
0,153600,0,214350,172050,0,
0,150000,0,214350,175650,0,
0,149700,0,214650,175650,0,
0,147900,0,218250,173850,0,
0,147900,0,217950,174150,0,
0,148200,0,217950,173850,0,
0,148200,0,217950,173850,0,
0,148200,0,217950,173850,0,
0,148800,0,217350,173850,0,
0,148800,0,217350,173850,0,
0,139200,0,227550,173250,0,
0,139800,0,227550,172650,0,
0,139800,0,227550,172650,0,
0,139800,0,227550,172650,0,
0,132000,0,235350,172650,0,
0,132000,0,235350,172650,0,
0,132900,0,235050,172050,0,
0,132300,0,235050,172650,0,
0,132300,0,235050,172650,0,
0,132300,0,235050,172650,0,
0,131700,0,252450,155850,0,
0,131700,0,252450,155850,0,
0,143400,0,252150,144450,0,
0,142800,0,252150,145050,0,
0,142800,0,252150,145050,0,
0,142800,0,252150,145050,0,
0,143400,0,251550,145050,0,
0,143400,0,251550,145050,0,
0,171600,0,250950,117450,0,
0,171900,0,250950,117150,0,
0,171900,0,263550,104550,0,
0,171900,0,263550,104550,0,
0,171600,0,263850,104550,0,
0,171600,0,263850,104550,0,
0,171600,0,263550,104850,0,
0,171000,0,263550,105450,0,
0,171000,0,263550,105450,0,
0,171000,0,263550,105450,0,
0,170700,0,263850,105450,0,
0,170700,0,263850,105450,0,
0,170700,0,263250,106050,0,
0,170100,0,263250,106650,0,
0,180900,0,252450,106650,0,
0,184500,0,252450,103050,0,
0,184200,0,264150,91650,0,
0,184200,0,264150,91650,0,
0,184200,0,264750,91050,0,
0,184500,0,264750,90750,0,
0,193500,0,262950,83550,0,
0,189900,0,262950,87150,0,
0,190500,0,262350,87150,0,
0,190500,0,262350,87150,0,
0,190500,0,262950,86550,0,
0,190800,0,262950,86250,0,
0,187200,0,266550,86250,0,
0,183600,0,279150,77250,0,
0,184200,0,278550,77250,0,
0,184200,0,276750,79050,0,
0,172800,0,276450,90750,0,
0,161400,0,276450,102150,0,
0,157800,0,272850,109350,0,
0,154200,0,278250,107550,0,
0,153900,0,289950,96150,0,
0,150300,0,293550,96150,0,
0,150300,0,280350,109350,0,
0,149700,0,281250,109050,0,
0,149700,0,281250,109050,0,
0,149700,0,281250,109050,0,
0,149400,0,280650,109950,0,
0,149400,0,280650,109950,0,
0,149400,0,280050,110550,0,
0,157200,0,280050,102750,0,
0,157200,0,276450,106350,0,
0,157200,0,276450,106350,0,
0,156900,0,276750,106350,0,
0,151500,0,289350,99150,0,
0,151500,0,289950,98550,0,
0,151500,0,289950,98550,0,
0,151500,0,289950,98550,0,
0,151500,0,289950,98550,0,
0,152100,0,289350,98550,0,
0,139500,0,301950,98550,0,
0,138900,0,301650,99450,0,
0,122100,0,301650,116250,0,
0,111300,0,285450,143250,0,
0,100500,0,285450,154050,0,
0,99900,0,286050,154050,0,
0,99900,0,286050,154050,0,
0,99900,0,285450,154650,0,
0,100200,0,285450,154350,0,
0,100200,0,285450,154350,0,
0,73200,0,263850,202950,0,
0,72900,0,263250,203850,0,
0,62100,0,263250,214650,0,
0,62100,0,262650,215250,0,
0,73800,0,251250,214950,0,
0,70200,0,251250,218550,0,
0,86400,0,251250,202350,0,
0,86100,0,251550,202350,0,
0,102300,0,235350,202350,0,
0,102300,0,235950,201750,0,
0,101700,0,235950,202350,0,
0,101700,0,235950,202350,0,
0,126900,0,223350,189750,0,
0,119100,0,231150,189750,0,
0,119100,0,231150,189750,0,
0,119100,0,230850,190050,0,
0,119400,0,230850,189750,0,
0,119400,0,230850,189750,0,
0,115800,0,230850,193350,0,
0,108000,0,238650,193350,0,
0,108000,0,233250,198750,0,
0,108000,0,233850,198150,0,
0,107400,0,233850,198750,0,
0,107400,0,233850,198750,0,
0,107400,0,233850,198750,0,
0,107100,0,234150,198750,0,
0,107100,0,234150,198750,0,
0,107100,0,215550,217350,0,
0,106500,0,215550,217950,0,
0,99300,0,222750,217950,0,
0,99300,0,222750,217950,0,
0,100500,0,222150,217350,0,
0,147300,0,198750,193950,0,
0,135900,0,198450,205650,0,
0,135300,0,198450,206250,0,
0,135300,0,198450,206250,0,
0,124500,0,220050,195450,0,
0,124200,0,220350,195450,0,
0,124200,0,220350,195450,0,
0,114600,0,230550,194850,0,
0,114000,0,231450,194550,0,
0,133800,0,231450,174750,0,
0,133800,0,231450,174750,0,
0,134400,0,230850,174750,0,
0,148800,0,227250,163950,0,
0,133800,0,226950,179250,0,
0,133200,0,226950,179850,0,
0,133200,0,226950,179850,0,
0,133200,0,226950,179850,0,
0,133800,0,226350,179850,0,
0,133800,0,226350,179850,0,
0,133800,0,226050,180150,0,
0,134100,0,226050,179850,0,
0,134100,0,226050,179850,0,
0,152100,0,226050,161850,0,
0,151800,0,226350,161850,0,
0,151800,0,226350,161850,0,
0,151800,0,225750,162450,0,
0,151200,0,226950,161850,0,
0,151200,0,226950,161850,0,
0,136800,0,241350,161850,0,
0,132600,0,245550,161850,0,
0,132600,0,250950,156450,0,
0,132600,0,251550,155850,0,
0,132000,0,259950,148050,0,
0,132000,0,249150,158850,0,
0,132000,0,249150,158850,0,
0,145200,0,235950,158850,0,
0,145200,0,234150,160650,0,
0,145200,0,233850,160950,0,
0,144600,0,235050,160350,0,
0,141000,0,235050,163950,0,
0,141000,0,235050,163950,0,
0,152400,0,223650,163950,0,
0,152400,0,223650,163950,0,
0,152400,0,224250,163350,0,
0,153000,0,224250,162750,0,
0,160200,0,224250,155550,0,
0,156600,0,224250,159150,0,
0,156300,0,224550,159150,0,
0,122100,0,292950,124950,0,
0,123300,0,292350,124350,0,
0,122700,0,292350,124950,0,
0,119100,0,292350,128550,0,
0,119100,0,292350,128550,0,
0,118800,0,292650,128550,0,
0,108000,0,292650,139350,0,
0,100200,0,292050,147750,0,
0,99600,0,292050,148350,0,
0,99600,0,292050,148350,0,
0,99600,0,292050,148350,0,
0,97200,0,294450,148350,0,
0,97200,0,301650,141150,0,
0,97200,0,301350,141450,0,
0,96600,0,289950,153450,0,
0,96600,0,289950,153450,0,
0,96600,0,289950,153450,0,
0,97200,0,289350,153450,0,
0,97200,0,289350,153450,0,
0,96600,0,288750,154650,0,
0,85200,0,300450,154350,0,
0,85200,0,300450,154350,0,
0,85200,0,300450,154350,0,
0,85800,0,299850,154350,0,
0,111000,0,292650,136350,0,
0,111000,0,298650,130350,0,
0,111300,0,298650,130050,0,
0,111300,0,298650,130050,0,
0,96900,0,331050,112050,0,
0,96600,0,331350,112050,0,
0,96600,0,331350,112050,0,
0,96600,0,342750,100650,0,
0,96900,0,342750,100350,0,
0,96900,0,342750,100350,0,
0,104100,0,335550,100350,0,
0,103800,0,335850,100350,0,
0,103800,0,335850,100350,0,
0,105000,0,335250,99750,0,
0,104400,0,336150,99450,0,
0,104400,0,336150,99450,0,
0,104400,0,336150,99450,0,
0,104100,0,337050,98850,0,
0,104100,0,337050,98850,0,
0,104100,0,337050,98850,0,
0,104700,0,337050,98250,0,
0,104700,0,337050,98250,0,
0,101100,0,349650,89250,0,
0,100800,0,338250,100950,0,
0,100800,0,338250,100950,0,
0,100800,0,337950,101250,0,
0,101100,0,337950,100950,0,
0,101100,0,337950,100950,0,
0,101100,0,337950,100950,0,
0,100800,0,338250,100950,0,
0,100800,0,338250,100950,0,
0,100800,0,338850,100350,0,
0,102000,0,338250,99750,0,
0,121800,0,338250,79950,0,
0,121800,0,338250,79950,0,
0,121200,0,338850,79950,0,
0,124800,0,335250,79950,0,
0,124800,0,341250,73950,0,
0,125100,0,341250,73650,0,
0,125100,0,341250,73650,0,
0,137700,0,341250,61050,0,
0,138300,0,340650,61050,0,
0,138300,0,340650,61050,0,
0,137700,0,340050,62250,0,
0,120900,0,340050,79050,0,
0,120900,0,340050,79050,0,
0,122700,0,338250,79050,0,
0,118500,0,342450,79050,0,
0,118500,0,342450,79050,0,
0,118500,0,342150,79350,0,
0,117900,0,342150,79950,0,
0,121500,0,342150,76350,0,
0,137700,0,325950,76350,0,
0,145500,0,318150,76350,0,
0,145500,0,318150,76350,0,
