EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,
155400,98650,63900,0,196300,25750,
155400,89650,63900,0,196300,34750,
155400,94450,63900,0,195700,30550,
145800,94450,63900,0,195700,40150,
145500,94750,63900,0,195700,40150,
145500,94450,64200,0,195700,40150,
144900,94450,63900,0,195100,41650,
144900,94450,63900,0,196900,39850,
160800,86650,63900,0,196600,32050,
165300,86650,63900,0,192400,31750,
165000,86950,63900,0,192400,31750,
165000,86650,64200,0,192400,31750,
165000,86650,63900,0,192700,31750,
165000,86650,60300,0,196300,31750,
165000,86650,45600,0,211600,31150,
165300,86650,45600,0,211600,30850,
157500,98650,45600,0,207400,30850,
157500,98350,45750,0,207400,31000,
158700,98350,45150,0,206800,31000,
158700,92950,45150,0,206800,36400,
158700,92950,45150,0,206500,36700,
158100,98050,40950,0,206500,36400,
164700,97450,40950,0,206500,30400,
164700,103450,34950,0,206500,30400,
158700,103450,34650,0,212800,30400,
158700,103450,34650,0,212800,30400,
158700,103450,34650,0,218800,24400,
159000,103450,34650,0,218800,24100,
158700,102850,34650,0,219700,24100,
152700,116050,34050,0,219100,18100,
152700,116050,33750,0,214900,22600,
145500,116050,33750,0,225700,19000,
145500,116050,33750,0,223300,21400,
144900,116050,34650,0,223300,21100,
144600,115450,34650,0,224800,20500,
144000,114850,32250,0,224800,24100,
144000,114850,31650,0,224200,25300,
144000,114850,26250,0,229600,25300,
144000,140050,20250,0,220000,15700,
143400,140050,20250,0,221200,15100,
135600,155650,20250,0,213400,15100,
135600,165250,10650,0,213400,15100,
135600,165250,10050,0,212800,16300,
135600,165250,10050,0,212800,16300,
135600,165250,10050,0,212500,16600,
133200,165250,13050,0,212500,16000,
133800,164650,13050,0,212500,16000,
133800,164350,13350,0,212500,16000,
133800,164350,13050,0,212800,16000,
144600,158950,13050,0,212800,10600,
144600,158950,21450,0,205000,10000,
140400,158950,21450,0,205000,14200,
139800,158350,21450,0,205000,15400,
139800,160750,19050,0,205000,15400,
139800,154750,18750,0,217300,9400,
139800,154750,13350,0,226300,5800,
133800,154750,13350,0,236500,1600,
148500,154750,13350,0,222100,1300,
138900,175150,3750,0,221500,700,
140400,174850,3150,0,220900,700,
140400,174850,2850,0,221800,100,
146850,174850,0,0,218200,100,
147150,174850,0,0,217900,100,
147150,174850,0,0,217900,100,
141150,168850,0,0,229900,100,
141150,168850,0,0,229900,100,
141150,168850,0,0,229900,100,
141150,174250,0,0,224500,100,
140550,168250,0,0,231100,100,
140550,168250,0,0,231100,100,
134550,174250,0,0,231100,100,
134550,173650,0,0,231700,100,
127350,173650,0,0,238900,100,
138150,162850,0,0,238900,100,
138450,162850,0,0,238600,100,
149250,162850,0,0,227800,100,
148950,163150,0,0,227800,100,
148950,170950,0,0,220000,100,
148950,170950,0,0,220000,100,
136350,183550,0,0,220000,100,
136650,183550,0,0,219700,100,
136650,183550,0,0,219700,100,
143250,182950,0,0,213700,100,
143250,183550,0,0,213100,100,
143250,183550,0,0,213100,100,
143250,183550,0,0,213100,100,
145650,183550,0,0,210700,100,
145650,183550,0,0,210700,100,
146250,182950,0,0,210700,100,
146250,182650,0,0,211000,100,
146250,182650,0,0,211000,100,
146250,175450,0,0,218200,100,
155850,175450,0,0,208600,100,
155850,177250,0,0,206800,100,
158250,174850,0,0,206800,100,
158250,174850,0,0,206800,100,
158250,167650,0,0,214000,100,
152850,173050,0,0,214000,100,
157050,173050,0,0,209800,100,
162450,173050,0,0,204400,100,
162450,173050,0,0,204400,100,
162450,179050,0,0,198400,100,
162450,179050,0,0,198400,100,
162450,179050,0,0,198400,100,
161850,179950,0,0,198100,100,
161850,179950,0,0,198100,100,
162450,179350,0,0,198100,100,
162450,178750,0,0,198700,100,
162450,178750,0,0,198700,100,
162450,178750,0,0,198700,100,
173850,178750,0,0,187300,100,
170250,182350,0,0,187300,100,
158850,193750,0,0,187300,100,
158850,193450,0,0,187600,100,
158850,191650,0,0,189400,100,
158850,191650,0,0,189400,100,
158250,192550,0,0,189100,100,
158250,192550,0,0,189100,100,
169650,181150,0,0,189100,100,
169650,180850,0,0,189400,100,
169650,180850,0,0,189400,100,
167850,182650,0,0,189400,100,
168150,182650,0,0,189100,100,
168150,182650,0,0,189100,100,
175950,174850,0,0,189100,100,
171750,174550,0,0,193600,100,
171750,169150,0,0,199000,100,
171750,169150,0,0,199000,100,
172050,169150,0,0,198700,100,
173850,167350,0,0,198700,100,
173550,167650,0,0,198700,100,
173550,159850,0,0,206500,100,
173550,154450,0,0,211900,100,
173550,154450,0,0,211900,100,
173850,154450,0,0,211600,100,
163050,154450,0,0,222400,100,
163350,153850,0,0,222700,100,
163350,153550,0,0,223000,100,
163350,146350,0,0,230200,100,
163350,146350,0,0,230200,100,
162750,146350,0,0,230800,100,
162750,146350,0,0,230800,100,
154950,138550,0,0,246400,100,
145350,150550,0,0,244000,100,
145350,150550,0,0,244000,100,
145350,150550,0,0,244000,100,
144750,150550,0,0,244600,100,
144750,150550,0,0,244600,100,
152550,142750,0,0,244600,100,
152550,142450,0,0,244900,100,
152550,135250,0,0,252100,100,
152550,126250,0,0,261100,100,
144750,126250,0,0,268900,100,
142950,126250,0,0,270700,100,
148950,120250,0,0,270700,100,
148950,120850,0,0,270100,100,
148950,120850,0,0,270100,100,
148950,126250,0,0,264700,100,
149250,126250,0,0,264400,100,
149250,131650,0,0,259000,100,
148650,123850,0,0,267400,100,
148650,123250,0,0,268000,100,
148650,123250,0,0,268000,100,
154050,123250,0,0,262600,100,
154350,123250,0,0,262300,100,
156150,121450,0,0,262300,100,
156750,120850,0,0,262300,100,
157650,120550,0,0,261700,100,
157650,120550,0,0,261700,100,
159450,118750,0,0,261700,100,
159750,118750,0,0,261400,100,
159750,118750,0,0,261400,100,
159450,118150,0,0,262300,100,
159450,117850,0,0,262600,100,
159450,114250,0,0,266200,100,
159450,107050,0,0,273400,100,
159750,107050,0,0,273100,100,
156150,101650,0,0,282100,100,
162150,95650,0,0,282100,100,
162150,95350,0,0,282400,100,
158550,98950,0,0,282400,100,
165750,91750,0,0,282400,100,
166050,91750,0,0,282100,100,
167850,89950,0,0,282100,100,
158250,100150,0,0,281500,100,
158250,99550,0,0,282100,100,
158250,99550,0,0,282100,100,
158250,99550,0,0,282100,100,
158550,99550,0,0,281800,100,
158550,99550,0,0,281800,100,
158250,98950,0,0,282700,100,
158250,98650,0,0,283000,100,
158250,100450,0,0,281200,100,
158250,100450,0,0,281200,100,
146850,112150,0,0,280900,100,
146850,110350,0,0,282700,100,
146550,113050,0,0,280300,100,
146550,110650,0,0,282700,100,
146550,107050,0,0,286300,100,
146550,107050,0,0,286300,100,
136950,107050,0,0,295900,100,
147750,96250,0,0,295900,100,
147450,96550,0,0,295900,100,
147450,90550,0,0,301900,100,
151050,90550,0,0,298300,100,
147450,94150,0,0,298300,100,
146850,95050,0,0,298000,100,
146850,96850,0,0,296200,100,
147450,96250,0,0,296200,100,
147450,96850,0,0,295600,100,
147450,96850,0,0,295600,100,
140250,104050,0,0,295600,100,
140550,104050,0,0,295300,100,
131550,104050,0,0,304300,100,
130950,104650,0,0,304300,100,
130950,104350,0,0,304600,100,
136350,104350,0,0,299200,100,
136350,104350,0,0,299200,100,
128550,104350,0,0,307000,100,
128550,109750,0,0,301600,100,
128850,110050,0,0,301000,100,
122850,109750,0,0,307300,100,
122850,109750,0,0,307300,100,
122850,109750,0,0,307300,100,
123450,109750,0,0,306700,100,
123450,111550,0,0,304900,100,
121050,113950,0,0,304900,100,
121050,119950,0,0,298900,100,
121050,121750,0,0,297100,100,
113850,128950,0,0,297100,100,
119850,128950,0,0,291100,100,
119850,128950,0,0,291100,100,
119550,129250,0,0,291100,100,
119700,128950,0,0,291250,100,
119700,141550,0,0,278650,100,
119700,141550,0,0,278650,100,
126300,135550,0,0,278050,100,
126300,130150,0,0,283450,100,
127500,129550,0,0,282850,100,
127500,135550,0,0,276850,100,
127500,131950,0,0,280450,100,
127500,131950,0,0,280450,100,
133800,125950,0,0,280150,100,
135600,125950,0,0,278350,100,
135300,126250,0,0,278350,100,
135300,126850,0,0,277750,100,
135300,126850,0,0,277750,100,
135300,119650,0,0,284950,100,
134700,120550,0,0,284650,100,
134700,120550,0,0,284650,100,
134400,120850,0,0,284650,100,
134400,120550,0,0,284950,100,
129000,127750,0,0,283150,100,
129000,127750,0,0,283150,100,
128400,127750,0,0,283750,100,
139200,127750,0,0,272950,100,
138900,128050,0,0,272950,100,
138900,132250,0,0,268750,100,
138900,134050,0,0,266950,100,
138900,134050,0,0,266950,100,
129300,134050,0,0,276550,100,
129300,134050,0,0,276550,100,
117900,145450,0,0,276550,100,
110100,153850,0,0,275950,100,
106500,153850,0,0,279550,100,
106500,153850,0,0,279550,100,
105900,154750,0,0,279250,100,
105900,154750,0,0,279250,100,
105600,155050,0,0,279250,100,
105600,154750,0,0,279550,100,
105600,154750,0,0,279550,100,
103800,154750,0,0,281350,100,
110400,154150,0,0,275350,100,
114000,150550,0,0,275350,100,
113700,150850,0,0,275350,100,
113700,160450,0,0,265750,100,
117300,156850,0,0,265750,100,
108300,151450,0,0,280150,100,
102300,151450,0,0,286150,100,
102300,151450,0,0,286150,100,
102900,150850,0,0,286150,100,
102900,160450,0,0,276550,100,
102900,160450,0,0,276550,100,
102900,160450,0,0,276550,100,
103200,160450,0,0,276250,100,
103200,149650,0,0,287050,100,
102900,149950,0,0,287050,100,
102900,149650,0,0,287350,100,
102900,149650,0,0,287350,100,
102900,149650,0,0,287350,100,
96900,149650,0,0,293350,100,
96900,149650,0,0,293350,100,
96600,149950,0,0,293350,100,
96600,149650,0,0,293650,100,
87600,167650,0,0,284650,100,
87600,162250,0,0,290050,100,
87000,163150,0,0,289750,100,
85200,163150,0,0,291550,100,
84900,163450,0,0,291550,100,
84900,169450,0,0,285550,100,
84900,171250,0,0,283750,100,
77700,171250,0,0,290950,100,
80100,171250,0,0,288550,100,
80100,171250,0,0,288550,100,
79800,171550,0,0,288550,100,
79800,170950,0,0,289150,100,
79800,170950,0,0,289150,100,
79800,170950,0,0,289150,100,
79200,170950,0,0,289750,100,
77400,170950,0,0,291550,100,
77100,171850,0,0,290950,100,
