CALL_MAN,SIMPLE_RANGE,SIMPLE_RANGE,EXPECTATION,EXPECTATION
0,34050,100,15600,250
0,34050,100,15600,250
0,34050,100,15600,250
0,33750,100,15900,250
0,33750,100,15900,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33150,100,16500,250
0,33150,100,16500,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33450,100,16200,250
0,33150,100,16500,250
0,33150,100,16500,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32850,100,16800,250
0,33150,100,16500,250
0,33150,100,16500,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32850,100,16800,250
0,32550,100,17100,250
0,32550,100,17100,250
0,31950,100,17700,250
0,31950,100,17700,250
0,31950,100,17700,250
0,32250,100,17400,250
0,32250,100,17400,250
0,31650,100,18000,250
0,31650,100,18000,250
0,31650,100,18000,250
0,31950,100,17700,250
0,31950,100,17700,250
0,31650,100,18000,250
0,31650,100,18000,250
0,31650,100,18000,250
0,31350,100,18300,250
0,31350,100,18300,250
0,31050,100,18600,250
0,31050,100,18600,250
0,31050,100,18600,250
0,30750,100,18900,250
0,30750,100,18900,250
0,31050,100,18600,250
0,31050,100,18600,250
0,31050,100,18600,250
0,30750,100,18900,250
0,30750,100,18900,250
0,31050,100,18600,250
0,31050,100,18600,250
0,31050,100,18600,250
0,30750,100,18900,250
0,30750,100,18900,250
0,30450,100,19200,250
0,30450,100,19200,250
0,30450,100,19200,250
0,30150,100,19500,250
0,30150,100,19500,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29550,100,20100,250
0,29550,100,20100,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29850,100,19800,250
0,29550,100,20100,250
0,29550,100,20100,250
0,29550,100,20100,250
0,29250,100,20400,250
0,29250,100,20400,250
