EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
0,156300,109500,27000,247200,0,
0,148500,108900,27000,255600,0,
0,147900,108300,26400,257400,0,
0,159900,108300,25800,246000,0,
0,161100,108300,25200,245400,0,
0,159300,101100,25200,254400,0,
0,152100,97500,25200,265200,0,
0,151800,96900,25200,266100,0,
0,151800,96300,25800,266100,0,
0,140400,119700,25200,254700,0,
0,130800,119700,25200,264300,0,
0,130800,119700,25200,264300,0,
0,130800,119700,20700,268800,0,
0,130500,120000,20700,268800,0,
0,130500,119400,21300,268800,0,
0,130500,119400,21900,268200,0,
0,141900,119400,21900,256800,0,
0,141900,119400,21900,256800,0,
0,141900,119400,21900,256800,0,
0,137700,123600,21900,256800,0,
0,137700,123000,22200,257100,0,
0,137700,124200,21600,256500,0,
0,142800,129300,12000,255900,0,
0,142800,129300,12000,255900,0,
0,142800,123900,17400,255900,0,
0,142500,124200,17400,255900,0,
0,152700,114600,16800,255900,0,
0,152700,106800,25200,255300,0,
0,141300,106800,13800,278100,0,
0,141300,106800,13800,278100,0,
0,141300,106800,13800,278100,0,
0,129900,118200,13800,278100,0,
0,131100,117600,13200,278100,0,
0,131100,117600,13800,277500,0,
0,142500,117600,13800,266100,0,
0,140700,119400,13800,266100,0,
0,140700,112800,21600,264900,0,
0,140400,113100,21600,264900,0,
0,136200,107100,21000,275700,0,
0,136200,114600,20700,268500,0,
0,129000,114600,20700,275700,0,
0,120000,114600,20700,284700,0,
0,120000,114600,25200,280200,0,
0,119400,115200,25200,280200,0,
0,119400,111600,24600,284400,0,
0,119400,111600,22800,286200,0,
0,114000,111600,17400,297000,0,
0,114000,111600,17400,297000,0,
0,114000,111600,20100,294300,0,
0,114600,111000,20100,294300,0,
0,110400,106800,29100,293700,0,
0,110400,98100,38400,293100,0,
0,110400,98100,38400,293100,0,
0,110400,98100,38400,293100,0,
0,110400,98100,38400,293100,0,
0,111000,97500,38400,293100,0,
