EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,
0,301350,109650,39000,
0,301050,109950,39000,
0,297450,109650,42900,
0,297750,109650,42600,
0,297750,109650,42600,
0,297450,109950,42600,
0,298350,109650,42000,
0,286950,121350,41700,
0,294150,114150,41700,
0,294750,113550,41700,
0,294750,113250,42000,
0,304350,113250,32400,
0,295350,113250,41400,
0,295050,113550,41400,
0,283650,113250,53100,
0,283050,113250,53700,
0,283050,120450,46500,
0,282750,120750,46500,
0,282750,120450,46800,
0,294150,120450,35400,
0,294150,120450,35400,
0,294750,119850,35400,
0,294750,108450,46800,
0,295050,108450,46500,
0,295050,108450,46500,
0,294750,107850,47400,
0,294750,107550,47700,
0,295050,107550,47400,
0,295050,107550,47400,
0,295650,106950,47400,
0,295650,106650,47700,
0,295950,106650,47400,
0,295950,106650,47400,
0,295650,106950,47400,
0,295650,106650,47700,
0,295050,107850,47100,
0,295050,107850,47100,
0,294750,108150,47100,
0,294750,107550,47700,
0,295050,107550,47400,
0,295050,107550,47400,
0,295650,106950,47400,
0,295650,106650,47700,
0,296550,106050,47400,
0,289350,106050,54600,
0,285150,110250,54600,
0,285150,98850,66000,
0,284550,98850,66600,
0,284550,104250,61200,
0,274950,113850,61200,
0,275850,113550,60600,
0,266250,113550,70200,
0,266250,113550,70200,
0,265950,113850,70200,
0,265950,114450,69600,
0,274050,106650,69300,
0,286650,106650,56700,
0,292650,100650,56700,
0,292650,110250,47100,
0,298650,110250,41100,
0,298650,113850,37500,
0,302850,109650,37500,
0,300450,112650,36900,
0,311850,112650,25500,
0,311850,112650,25500,
0,311250,113250,25500,
0,311250,112950,25800,
0,311250,112950,25800,
0,311250,112950,25800,
0,311850,112350,25800,
0,311850,112050,26100,
0,323850,111450,14700,
0,329250,111450,9300,
0,333450,107250,9300,
0,345450,95850,8700,
0,336750,95850,17400,
0,336750,95850,17400,
0,336450,96150,17400,
0,336450,84750,28800,
0,346050,84750,19200,
0,346050,84750,19200,
0,338250,84150,27600,
0,338250,83550,28200,
0,337650,83550,28800,
0,337650,83550,28800,
0,337350,91650,21000,
0,337350,91050,21600,
0,346950,91050,12000,
0,358950,91050,0,
0,359550,90450,0,
0,358950,91050,0,
0,357150,92850,0,
0,357150,92850,0,
0,356850,93150,0,
0,357150,92850,0,
0,357150,92850,0,
0,357150,92850,0,
0,356850,93150,0,
0,356250,93750,0,
0,356250,93750,0,
0,356250,93750,0,
0,356850,93150,0,
0,350850,99150,0,
0,350850,99150,0,
0,347250,102750,0,
0,353250,96750,0,
0,352650,97350,0,
0,352650,97350,0,
0,361650,88350,0,
0,362250,87750,0,
0,362550,87450,0,
0,362550,87450,0,
0,362550,87450,0,
0,362250,87750,0,
0,371850,78150,0,
0,371850,78150,0,
0,371850,78150,0,
0,371550,78450,0,
0,382950,67050,0,
0,382950,67050,0,
0,382950,67050,0,
0,383550,66450,0,
0,382950,67050,0,
0,382950,67050,0,
0,368550,81450,0,
0,367950,82050,0,
0,368250,81750,0,
0,366450,83550,0,
0,366450,83550,0,
0,366150,83850,0,
0,365550,84450,0,
0,365550,84450,0,
0,374550,75450,0,
0,374250,75750,0,
0,374550,75450,0,
0,374550,75450,0,
0,374550,75450,0,
0,363150,86850,0,
0,362550,87450,0,
0,360750,89250,0,
0,360750,89250,0,
0,360750,89250,0,
0,361050,88950,0,
0,361050,88950,0,
0,361050,88950,0,
0,368850,81150,0,
0,369150,80850,0,
0,361950,88050,0,
0,361950,88050,0,
0,357750,92250,0,
0,358050,91950,0,
0,358050,91950,0,
0,356250,93750,0,
0,355950,94050,0,
0,356250,93750,0,
0,356250,93750,0,
0,356250,93750,0,
0,355950,94050,0,
0,356550,93450,0,
0,356550,93450,0,
0,356550,93450,0,
0,357150,92850,0,
0,357750,92250,0,
0,357750,92250,0,
0,357750,92250,0,
0,357150,92850,0,
0,357450,92550,0,
0,368250,81750,0,
0,368250,81750,0,
0,360450,89550,0,
0,360750,89250,0,
0,360750,89250,0,
0,360750,89250,0,
0,360450,89550,0,
0,361050,88950,0,
0,361050,88950,0,
0,362850,87150,0,
0,362250,87750,0,
0,362550,87450,0,
0,362550,87450,0,
0,362550,87450,0,
0,362250,87750,0,
0,361650,88350,0,
0,361650,88350,0,
0,361650,88350,0,
0,361350,88650,0,
0,361650,88350,0,
0,361650,88350,0,
0,361650,88350,0,
0,353850,96150,0,
0,354450,95550,0,
0,367050,82950,0,
0,363450,86550,0,
0,364050,85950,0,
0,364050,85950,0,
0,364050,85950,0,
0,365850,84150,0,
0,359850,90150,0,
0,353850,96150,0,
0,353850,96150,0,
0,353850,96150,0,
0,353550,96450,0,
0,352950,97050,0,
0,352950,97050,0,
0,356550,93450,0,
0,356250,93750,0,
0,348450,101550,0,
0,348450,101550,0,
0,352050,97950,0,
0,352650,97350,0,
0,362250,87750,0,
0,356850,93150,0,
0,356850,93150,0,
0,356550,93450,0,
0,364350,85650,0,
0,364350,85650,0,
0,364350,85650,0,
0,364050,85950,0,
0,363450,86550,0,
0,363450,86550,0,
0,358050,91950,0,
0,357750,92250,0,
0,358050,91950,0,
0,368850,81150,0,
0,368850,81150,0,
0,368550,81450,0,
0,369150,80850,0,
0,369150,80850,0,
0,369150,80850,0,
0,369750,80250,0,
0,369150,80850,0,
0,369150,80850,0,
0,369150,80850,0,
0,368850,81150,0,
0,369150,80850,0,
0,369150,80850,0,
0,370950,79050,0,
0,371550,78450,0,
0,360150,89850,0,
0,360150,89850,0,
0,360150,89850,0,
0,360750,89250,0,
0,360150,89850,0,
0,360150,89850,0,
0,367350,82650,0,
0,367950,82050,0,
0,379350,70650,0,
0,379350,70650,0,
0,379350,70650,0,
0,379950,70050,0,
0,380250,69750,0,
0,380250,69750,0,
0,380250,69750,0,
0,380250,69750,0,
0,382650,67350,0,
0,382650,67350,0,
0,380850,69150,0,
0,380550,69450,0,
0,386550,63450,0,
0,390150,59850,0,
0,382950,67050,0,
0,371550,78450,0,
0,371850,78150,0,
0,371850,78150,0,
0,379050,70950,0,
0,369450,80550,0,
0,363450,86550,0,
0,363450,86550,0,
0,363450,86550,0,
0,363150,86850,0,
0,362550,87450,0,
0,362550,87450,0,
0,358950,91050,0,
0,364950,85050,0,
0,365250,84750,0,
0,365250,84750,0,
0,374250,75750,0,
0,368250,81750,0,
0,362250,87750,0,
0,365850,84150,0,
0,367650,82350,0,
0,365250,84750,0,
0,365550,84450,0,
0,352950,97050,0,
0,351150,98850,0,
0,348750,101250,0,
0,356250,93750,0,
0,356250,93750,0,
0,352650,97350,0,
0,352350,97650,0,
0,352650,97350,0,
0,352650,97350,0,
0,352650,97350,0,
0,352650,97350,0,
0,352050,97950,0,
0,352050,97950,0,
0,352050,97950,0,
0,351750,98250,0,
0,352050,97950,0,
0,352050,97950,0,
0,339450,110550,0,
0,331650,118350,0,
0,320250,129750,0,
0,320250,129750,0,
0,325650,124350,0,
0,325050,124950,0,
0,325350,124650,0,
0,325350,124650,0,
0,325350,124650,0,
0,325950,124050,0,
0,325350,124650,0,
0,325350,124650,0,
0,325350,124650,0,
0,329550,120450,0,
0,329850,120150,0,
0,329850,120150,0,
0,329850,120150,0,
0,329550,120450,0,
0,335550,114450,0,
0,335550,114450,0,
0,335550,114450,0,
0,337950,112050,0,
0,337350,112650,0,
0,337350,112650,0,
0,337350,112650,0,
0,337950,112050,0,
0,330450,119550,0,
0,332250,117750,0,
0,332250,117750,0,
0,338250,111750,0,
0,332250,117750,0,
0,332250,117750,0,
0,332250,117750,0,
0,331950,118050,0,
0,322350,127650,0,
0,322350,127650,0,
0,322350,127650,0,
0,321750,128250,0,
0,321150,128850,0,
0,321150,128850,0,
0,321150,128850,0,
0,311550,138450,0,
0,311850,138150,0,
0,311850,138150,0,
0,311850,138150,0,
0,307650,142350,0,
0,307650,142350,0,
0,304050,145950,0,
0,304050,145950,0,
0,303750,146250,0,
0,303750,146250,0,
0,303750,146250,0,
0,303750,146250,0,
0,303450,146550,0,
0,303750,146250,0,
0,303750,146250,0,
0,303750,146250,0,
0,304350,145650,0,
0,313950,136050,0,
0,313950,136050,0,
0,324750,125250,0,
0,324450,125550,0,
0,324750,125250,0,
0,324750,125250,0,
0,331950,118050,0,
0,322350,127650,0,
0,322650,127350,0,
0,326250,123750,0,
0,313650,136350,0,
0,314250,135750,0,
0,313650,136350,0,
0,322650,127350,0,
0,322650,127350,0,
0,323250,126750,0,
0,329250,120750,0,
0,329250,120750,0,
0,340050,109950,0,
0,340650,109350,0,
0,340050,109950,0,
0,340050,109950,0,
0,331050,118950,0,
0,337050,112950,0,
0,344850,105150,0,
0,341250,108750,0,
0,341250,108750,0,
0,347250,102750,0,
0,356850,93150,0,
0,367650,82350,0,
0,367650,82350,0,
0,367350,82650,0,
0,366750,83250,0,
0,366750,83250,0,
0,372150,77850,0,
0,371850,78150,0,
0,372150,77850,0,
0,375750,74250,0,
0,375750,74250,0,
0,381750,68250,0,
0,381750,68250,0,
0,381750,68250,0,
0,381750,68250,0,
0,381450,68550,0,
0,381750,68250,0,
0,379950,70050,0,
0,379950,70050,0,
0,382350,67650,0,
0,370950,79050,0,
0,370950,79050,0,
0,370950,79050,0,
0,364950,85050,0,
0,374550,75450,0,
0,374550,75450,0,
0,374550,75450,0,
0,375150,74850,0,
0,375150,74850,0,
0,375150,74850,0,
0,380550,69450,0,
0,381150,68850,0,
0,381450,68550,0,
0,383250,66750,0,
0,383250,66750,0,
0,394650,55350,0,
0,383250,66750,0,
0,383250,66750,0,
0,390450,59550,0,
0,396450,53550,0,
0,394050,55950,0,
0,394050,55950,0,
0,392250,57750,0,
0,391950,58050,0,
0,391350,58650,0,
0,391350,58650,0,
0,391350,58650,0,
0,391050,58950,0,
0,391350,58650,0,
0,400350,49650,0,
0,400350,49650,0,
0,400950,49050,0,
0,400350,49650,0,
0,400350,49650,0,
0,400350,49650,0,
0,399750,50250,0,
0,400050,49950,0,
0,412650,37350,0,
0,412650,37350,0,
0,406650,43350,0,
0,406950,43050,0,
0,408750,41250,0,
0,408750,41250,0,
0,399150,50850,0,
0,405150,44850,0,
0,405150,44850,0,
0,405150,44850,0,
0,404850,45150,0,
0,405450,44550,0,
0,405450,44550,0,
0,405450,44550,0,
0,405150,44850,0,
0,405450,44550,0,
0,405450,44550,0,
0,405450,44550,0,
0,406050,43950,0,
0,396450,53550,0,
0,396450,53550,0,
0,400050,49950,0,
0,399750,50250,0,
0,400350,49650,0,
0,405750,44250,0,
0,405750,44250,0,
0,396150,53850,0,
0,396450,53550,0,
0,396450,53550,0,
0,396450,53550,0,
0,394050,55950,0,
0,403650,46350,0,
0,414450,35550,0,
0,414450,35550,0,
0,414450,35550,0,
0,414750,35250,0,
0,414750,35250,0,
0,418350,31650,0,
0,417750,32250,0,
0,423750,26250,0,
0,423750,26250,0,
0,423750,26250,0,
0,423450,26550,0,
0,423750,26250,0,
0,427350,22650,0,
0,427350,22650,0,
0,419550,30450,0,
0,418950,31050,0,
0,418950,31050,0,
0,418950,31050,0,
0,418350,31650,0,
0,429750,20250,0,
0,429750,20250,0,
0,427950,22050,0,
0,439350,10650,0,
0,438750,11250,0,
0,438750,11250,0,
0,438750,11250,0,
0,438450,11550,0,
0,438750,11250,0,
0,438750,11250,0,
0,438750,11250,0,
0,438450,11550,0,
0,439050,10950,0,
0,439050,10950,0,
0,439050,10950,0,
0,438750,11250,0,
0,432750,17250,0,
0,432750,17250,0,
0,432750,17250,0,
0,426750,23250,0,
0,418950,31050,0,
0,418950,31050,0,
0,427950,22050,0,
0,427650,22350,0,
0,427050,22950,0,
0,432450,17550,0,
0,441450,8550,0,
0,449250,750,0,
0,449550,450,0,
0,449550,450,0,
0,449550,450,0,
0,449550,450,0,
0,449850,150,0,
