EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,123500,0,0,446500,
0,119900,0,0,450100,
0,125900,0,0,444100,
0,131300,0,0,438700,
0,130700,0,0,439300,
0,130700,0,0,439300,
0,122300,0,0,447700,
0,122900,0,0,447100,
0,122900,0,0,447100,
0,122900,0,0,447100,
0,121700,0,0,448300,
0,121700,0,0,448300,
0,115000,0,0,455000,
0,115000,0,0,455000,
0,122300,0,0,447700,
0,122300,0,0,447700,
0,120500,0,0,449500,
0,129900,0,0,440100,
0,135300,0,0,434700,
0,132300,0,0,437700,
0,132300,0,0,437700,
0,132300,0,0,437700,
0,138300,0,0,431700,
0,139500,0,0,430500,
0,139200,0,0,430800,
0,139200,0,0,430800,
0,141000,0,0,429000,
0,140400,0,0,429600,
0,140400,0,0,429600,
0,134400,0,0,435600,
0,134400,0,0,435600,
0,134400,0,0,435600,
0,130500,0,0,439500,
0,130500,0,0,439500,
0,130200,0,0,439800,
0,130200,0,0,439800,
0,130200,0,0,439800,
0,130800,0,0,439200,
0,130800,0,0,439200,
0,136800,0,0,433200,
0,136800,0,0,433200,
0,131400,0,0,438600,
0,130800,0,0,439200,
0,130800,0,0,439200,
0,130500,0,0,439500,
0,126900,0,0,443100,
0,128100,0,0,441900,
0,130500,0,0,439500,
0,130500,0,0,439500,
0,130200,0,0,439800,
0,128400,0,0,441600,
0,129600,0,0,440400,
0,130200,0,0,439800,
0,130200,0,0,439800,
0,124200,0,0,445800,
0,124200,0,0,445800,
0,124200,0,0,445800,
0,124800,0,0,445200,
0,130200,0,0,439800,
0,129900,0,0,440100,
0,126900,0,0,443100,
0,126900,0,0,443100,
0,135800,0,0,434200,
0,135800,0,0,434200,
0,131000,0,0,439000,
0,120900,0,0,449100,
0,120900,0,0,449100,
0,102200,0,0,467800,
0,102200,0,0,467800,
0,94000,0,0,476000,
0,94000,0,0,476000,
0,105300,0,0,464700,
0,105900,0,0,464100,
0,105900,0,0,464100,
0,105600,0,0,464400,
0,102000,0,0,468000,
0,102000,0,0,468000,
0,102600,0,0,467400,
0,95400,0,0,474600,
0,89400,0,0,480600,
0,89400,0,0,480600,
0,75200,0,0,494800,
0,79400,0,0,490600,
0,81200,0,0,488800,
0,81800,0,0,488200,
0,81800,0,0,488200,
0,88200,0,0,481800,
0,88800,0,0,481200,
0,88800,0,0,481200,
0,88500,0,0,481500,
0,88500,0,0,481500,
0,85500,0,0,484500,
0,71500,0,0,498500,
0,64300,0,0,505700,
0,58500,0,0,511500,
0,58500,0,0,511500,
0,58500,0,0,511500,
0,59100,0,0,510900,
0,59100,0,0,510900,
0,59700,0,0,510300,
0,60900,0,0,509100,
0,60900,0,0,509100,
0,61500,0,0,508500,
0,65100,0,0,504900,
0,64800,0,0,505200,
0,64800,0,0,505200,
0,64800,0,0,505200,
0,65400,0,0,504600,
0,69000,0,0,501000,
0,68700,0,0,501300,
0,68700,0,0,501300,
0,68700,0,0,501300,
0,74700,0,0,495300,
0,74700,0,0,495300,
0,74400,0,0,495600,
0,87700,0,0,482300,
0,87700,0,0,482300,
0,71600,0,0,498400,
0,71600,0,0,498400,
0,75800,0,0,494200,
0,75800,0,0,494200,
0,75800,0,0,494200,
0,75200,0,0,494800,
0,80600,0,0,489400,
0,80000,0,0,490000,
0,75900,0,0,494100,
0,75900,0,0,494100,
0,76500,0,0,493500,
0,80100,0,0,489900,
0,79800,0,0,490200,
0,79800,0,0,490200,
0,79800,0,0,490200,
0,85800,0,0,484200,
0,85800,0,0,484200,
0,86400,0,0,483600,
0,86400,0,0,483600,
0,86400,0,0,483600,
0,85800,0,0,484200,
0,85800,0,0,484200,
0,85200,0,0,484800,
0,85200,0,0,484800,
0,98700,0,0,471300,
0,98100,0,0,471900,
0,94500,0,0,475500,
0,88500,0,0,481500,
0,87300,0,0,482700,
0,87300,0,0,482700,
0,76100,0,0,493900,
0,76100,0,0,493900,
0,75500,0,0,494500,
0,74300,0,0,495700,
0,74300,0,0,495700,
0,80300,0,0,489700,
0,80300,0,0,489700,
0,80000,0,0,490000,
0,72100,0,0,497900,
0,70900,0,0,499100,
0,62300,0,0,507700,
0,65900,0,0,504100,
0,65600,0,0,504400,
0,62600,0,0,507400,
0,62600,0,0,507400,
0,63200,0,0,506800,
0,63200,0,0,506800,
0,62900,0,0,507100,
0,62900,0,0,507100,
0,57600,0,0,512400,
0,57600,0,0,512400,
0,64800,0,0,505200,
0,70800,0,0,499200,
0,70800,0,0,499200,
0,70800,0,0,499200,
0,70200,0,0,499800,
0,70200,0,0,499800,
0,70800,0,0,499200,
0,70800,0,0,499200,
0,70800,0,0,499200,
0,71400,0,0,498600,
0,69600,0,0,500400,
0,70200,0,0,499800,
0,70200,0,0,499800,
0,70200,0,0,499800,
0,70200,0,0,499800,
0,70200,0,0,499800,
0,59700,0,0,510300,
0,59700,0,0,510300,
0,59700,0,0,510300,
0,59100,0,0,510900,
0,59100,0,0,510900,
0,59700,0,0,510300,
0,59700,0,0,510300,
0,59700,0,0,510300,
0,60300,0,0,509700,
0,60300,0,0,509700,
0,60000,0,0,510000,
0,71900,0,0,498100,
0,71900,0,0,498100,
0,72500,0,0,497500,
0,68900,0,0,501100,
0,74900,0,0,495100,
0,74900,0,0,495100,
0,74900,0,0,495100,
0,69800,0,0,500200,
0,75200,0,0,494800,
0,74600,0,0,495400,
0,74600,0,0,495400,
0,74600,0,0,495400,
0,70400,0,0,499600,
0,70400,0,0,499600,
0,64400,0,0,505600,
0,64400,0,0,505600,
0,64400,0,0,505600,
0,65000,0,0,505000,
0,70400,0,0,499600,
0,76400,0,0,493600,
0,76400,0,0,493600,
0,76400,0,0,493600,
0,75800,0,0,494200,
0,83000,0,0,487000,
0,87800,0,0,482200,
0,87800,0,0,482200,
0,87800,0,0,482200,
0,87200,0,0,482800,
0,87200,0,0,482800,
0,87800,0,0,482200,
0,77900,0,0,492100,
0,77900,0,0,492100,
0,68500,0,0,501500,
0,75700,0,0,494300,
0,75100,0,0,494900,
0,75100,0,0,494900,
0,75100,0,0,494900,
0,69100,0,0,500900,
0,69100,0,0,500900,
0,68800,0,0,501200,
0,68800,0,0,501200,
0,70000,0,0,500000,
0,70600,0,0,499400,
0,70600,0,0,499400,
0,76600,0,0,493400,
0,76600,0,0,493400,
0,76600,0,0,493400,
0,77200,0,0,492800,
0,73600,0,0,496400,
0,74200,0,0,495800,
0,74200,0,0,495800,
0,74200,0,0,495800,
0,73600,0,0,496400,
0,73600,0,0,496400,
0,68200,0,0,501800,
0,68200,0,0,501800,
0,64000,0,0,506000,
0,64600,0,0,505400,
0,64600,0,0,505400,
0,64000,0,0,506000,
0,64000,0,0,506000,
0,64000,0,0,506000,
0,76300,0,0,493700,
0,83500,0,0,486500,
0,83500,0,0,486500,
0,96600,0,0,473400,
0,96600,0,0,473400,
0,97200,0,0,472800,
0,97200,0,0,472800,
0,91200,0,0,478800,
0,91200,0,0,478800,
0,91200,0,0,478800,
0,79700,0,0,490300,
0,81500,0,0,488500,
0,81200,0,0,488800,
0,65300,0,0,504700,
0,65300,0,0,504700,
0,72800,0,0,497200,
