EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
0,54600,73500,116400,0,295500,
0,54000,74700,115800,0,295500,
0,54000,74700,116400,0,294900,
0,54000,74700,116400,0,294900,
0,53400,74700,123000,0,288900,
0,53400,74700,123000,0,288900,
0,54000,74100,123000,0,288900,
0,53400,77700,122400,0,286500,
0,53400,77700,121800,0,287100,
0,53400,77700,112800,0,296100,
0,52800,77700,112800,0,296700,
0,57000,77700,112800,0,292500,
0,61200,73500,112800,0,292500,
0,61200,77700,108600,0,292500,
0,61200,77700,109200,0,291900,
0,61200,77700,98400,0,302700,
0,61800,77700,98400,0,302100,
0,60000,79500,98400,0,302100,
0,59400,77100,98400,0,305100,
0,59400,86700,88800,0,305100,
0,59400,86700,94800,0,299100,
0,70200,86700,84000,0,299100,
0,75600,86700,83400,0,294300,
0,75600,86700,83400,0,294300,
0,76200,86100,83400,0,294300,
0,77400,85500,82800,0,294300,
0,77400,85500,82200,0,294900,
0,77400,85500,82200,0,294900,
0,76800,85500,82200,0,295500,
0,68400,93900,82200,0,295500,
0,67800,94500,82200,0,295500,
0,67200,93900,83400,0,295500,
0,67200,93900,84000,0,294900,
0,67200,93900,84000,0,294900,
0,66600,93900,84000,0,295500,
0,61800,98700,84000,0,295500,
0,55800,98100,84000,0,302100,
0,62400,92100,83400,0,302100,
0,62400,92100,72000,0,313500,
0,62400,92100,72000,0,313500,
0,63000,92100,72000,0,312900,
0,63000,92100,82800,0,302100,
0,62400,87900,88200,0,301500,
0,62400,80100,96000,0,301500,
0,64800,80100,94200,0,300900,
0,64800,80100,94200,0,300900,
0,64200,80100,99000,0,296700,
0,64200,80100,93600,0,302100,
0,74400,79500,93600,0,292500,
0,74400,80100,93000,0,292500,
0,74400,80100,93000,0,292500,
0,74400,80100,93000,0,292500,
0,75000,80100,93000,0,291900,
0,75000,80100,93000,0,291900,
0,74400,77700,96600,0,291300,
0,74400,80100,94200,0,291300,
0,74400,80100,94200,0,291300,
0,74400,80100,94200,0,291300,
0,73800,79500,96000,0,290700,
0,72600,80700,96000,0,290700,
0,76800,76500,96000,0,290700,
0,79800,75900,93600,0,290700,
0,79800,75300,93000,0,291900,
0,79800,75300,87600,0,297300,
0,80400,75300,87600,0,296700,
0,80400,75300,87600,0,296700,
0,85200,70500,87600,0,296700,
0,85200,69900,83400,0,301500,
0,85200,69900,77400,0,307500,
0,85200,69900,77400,0,307500,
0,104400,69900,67800,0,297900,
0,104400,69900,67800,0,297900,
0,105000,69300,67800,0,297900,
0,105000,68700,65400,0,300900,
0,106200,68700,64800,0,300300,
0,106200,68700,64800,0,300300,
0,109200,68700,64800,0,297300,
0,109200,68700,72000,0,290100,
0,108600,69300,72000,0,290100,
0,108600,66900,74400,0,290100,
0,108600,66900,74400,0,290100,
0,108600,66900,74400,0,290100,
0,112200,66900,74400,0,286500,
0,112200,66900,74400,0,286500,
0,104400,74700,74400,0,286500,
0,107400,74100,72000,0,286500,
0,107400,74100,71400,0,287100,
0,103800,74100,71400,0,290700,
0,108600,74100,71400,0,285900,
0,108600,74100,71400,0,285900,
0,108000,74700,71400,0,285900,
0,108000,75300,70800,0,285900,
0,109200,75300,70200,0,285300,
0,109200,75300,70200,0,285300,
0,108600,75300,70200,0,285900,
0,108600,75300,70200,0,285900,
0,97200,86700,70200,0,285900,
