EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,5800,0,304400,259800,
0,5800,0,305600,258600,
0,5800,0,305300,258900,
0,11200,0,305300,253500,
0,9400,0,307100,253500,
0,11800,0,304700,253500,
0,11800,0,304700,253500,
0,11800,0,299900,258300,
0,11200,0,299900,258900,
0,11200,0,299900,258900,
0,17200,0,293900,258900,
0,23800,0,287300,258900,
0,23800,0,287000,259200,
0,23200,0,275200,271600,
0,23200,0,275200,271600,
0,46400,0,252000,271600,
0,46400,0,257400,266200,
0,46400,0,258000,265600,
0,45800,0,258000,266200,
0,45800,0,252600,271600,
0,45500,0,252900,271600,
0,45500,0,252900,271600,
0,45500,0,253500,271000,
0,46100,0,253500,270400,
0,53300,0,253500,263200,
0,53900,0,252900,263200,
0,62800,0,244000,263200,
0,62800,0,243700,263500,
0,62200,0,257600,250200,
0,62200,0,257600,250200,
0,61900,0,255200,252900,
0,61900,0,255200,252900,
0,35100,0,228400,306500,
0,39300,0,228400,302300,
0,44700,0,223000,302300,
0,50700,0,217000,302300,
0,50700,0,217000,302300,
0,50700,0,216700,302600,
0,50100,0,216700,303200,
0,50100,0,216700,303200,
0,44100,0,216100,309800,
0,44100,0,216100,309800,
0,44100,0,215800,310100,
0,43500,0,215800,310700,
0,50700,0,215800,303500,
0,50400,0,216100,303500,
0,51600,0,216100,302300,
0,51600,0,215800,302600,
0,52200,0,215800,302000,
0,52200,0,215800,302000,
0,51900,0,216100,302000,
0,51900,0,216100,302000,
0,49500,0,215800,304700,
0,65400,0,215800,288800,
0,65400,0,215800,288800,
0,3300,0,277900,288800,
0,6600,0,274600,288800,
0,600,0,274300,295100,
0,1200,0,274300,294500,
0,0,0,280300,289700,
0,0,0,280300,289700,
0,0,0,278500,291500,
0,0,0,279100,290900,
0,0,0,293300,276700,
0,0,0,293300,276700,
0,0,0,293300,276700,
0,0,0,293300,276700,
0,0,0,293900,276100,
0,0,0,301900,268100,
0,0,0,301900,268100,
0,0,0,301900,268100,
0,0,0,301900,268100,
0,0,0,301600,268400,
0,0,0,312500,257500,
0,0,0,312500,257500,
0,0,0,310700,259300,
0,0,0,308900,261100,
0,0,0,309500,260500,
0,0,0,315500,254500,
0,0,0,315500,254500,
0,0,0,322700,247300,
0,0,0,328100,241900,
0,0,0,322100,247900,
0,0,0,313200,256800,
0,0,0,316800,253200,
0,0,0,315000,255000,
0,0,0,315000,255000,
0,0,0,314700,255300,
0,0,0,305300,264700,
0,0,0,298100,271900,
0,0,0,298100,271900,
0,0,0,298100,271900,
0,0,0,298700,271300,
0,0,0,292100,277900,
0,0,0,292100,277900,
0,0,0,292100,277900,
0,0,0,292100,277900,
0,0,0,292700,277300,
0,0,0,292100,277900,
0,0,0,292100,277900,
0,0,0,292100,277900,
0,0,0,292100,277900,
0,0,0,291800,278200,
0,0,0,296000,274000,
0,0,0,288800,281200,
0,0,0,288800,281200,
0,0,0,288800,281200,
0,0,0,288500,281500,
0,0,0,292700,277300,
0,0,0,299900,270100,
0,0,0,299900,270100,
0,0,0,298100,271900,
0,0,0,298100,271900,
0,0,0,297500,272500,
0,0,0,304700,265300,
0,0,0,302900,267100,
0,0,0,302900,267100,
0,0,0,302600,267400,
0,0,0,321900,248100,
0,0,0,321900,248100,
0,0,0,321900,248100,
0,0,0,321900,248100,
0,0,0,321600,248400,
0,0,0,308900,261100,
0,0,0,308900,261100,
0,0,0,308900,261100,
0,0,0,307100,262900,
0,0,0,313100,256900,
0,0,0,302300,267700,
0,0,0,302300,267700,
0,0,0,302300,267700,
0,0,0,302300,267700,
0,0,0,302000,268000,
0,0,0,302600,267400,
0,0,0,308000,262000,
0,0,0,315200,254800,
0,0,0,315200,254800,
0,0,0,317600,252400,
0,0,0,317000,253000,
0,0,0,324200,245800,
0,0,0,324200,245800,
0,0,0,324200,245800,
0,0,0,323900,246100,
0,0,0,315000,255000,
0,0,0,322200,247800,
0,0,0,322200,247800,
0,0,0,329400,240600,
0,0,0,331800,238200,
0,0,0,327600,242400,
0,0,0,327600,242400,
0,0,0,325800,244200,
0,0,0,325800,244200,
0,0,0,325500,244500,
0,0,0,326100,243900,
0,0,0,326100,243900,
0,0,0,324300,245700,
0,0,0,324300,245700,
0,0,0,324900,245100,
0,0,0,324300,245700,
0,0,0,322500,247500,
0,0,0,322500,247500,
0,0,0,329700,240300,
0,0,0,329700,240300,
0,0,0,320400,249600,
0,0,0,320400,249600,
0,0,0,320400,249600,
0,0,0,316800,253200,
0,0,0,313800,256200,
0,0,0,313200,256800,
0,0,0,313200,256800,
0,0,0,309600,260400,
0,0,0,309600,260400,
0,0,0,309300,260700,
0,0,0,308700,261300,
0,0,0,314100,255900,
0,0,0,314100,255900,
0,0,0,314100,255900,
0,0,0,314700,255300,
0,0,0,311700,258300,
0,0,0,311700,258300,
0,0,0,318900,251100,
0,0,0,318900,251100,
0,0,0,324900,245100,
0,0,0,341300,228700,
0,0,0,341300,228700,
0,0,0,341300,228700,
0,0,0,339500,230500,
0,0,0,339200,230800,
0,0,0,337400,232600,
0,0,0,337400,232600,
0,0,0,344600,225400,
0,0,0,344600,225400,
0,0,0,344300,225700,
0,0,0,344300,225700,
0,0,0,344300,225700,
0,0,0,344300,225700,
0,0,0,344300,225700,
0,0,0,344000,226000,
0,0,0,344600,225400,
0,0,0,344600,225400,
0,0,0,339200,230800,
0,0,0,339200,230800,
0,0,0,345200,224800,
0,0,0,351200,218800,
0,0,0,351200,218800,
0,0,0,358400,211600,
0,0,0,358400,211600,
0,0,0,358100,211900,
0,0,0,371900,198100,
0,0,0,371900,198100,
0,0,0,371900,198100,
0,0,0,370100,199900,
0,0,0,369800,200200,
0,0,0,375200,194800,
0,0,0,371600,198400,
0,0,0,371600,198400,
0,0,0,377000,193000,
0,0,0,369200,200800,
0,0,0,369800,200200,
0,0,0,368000,202000,
0,0,0,360800,209200,
0,0,0,353600,216400,
0,0,0,347600,222400,
0,0,0,353600,216400,
0,0,0,359000,211000,
0,0,0,359000,211000,
0,0,0,353600,216400,
0,0,0,359600,210400,
0,0,0,354800,215200,
0,0,0,354800,215200,
0,0,0,354800,215200,
0,0,0,354800,215200,
0,0,0,355400,214600,
0,0,0,354800,215200,
0,0,0,354800,215200,
0,0,0,354800,215200,
0,0,0,347600,222400,
0,0,0,348200,221800,
0,0,0,347600,222400,
0,0,0,347600,222400,
0,0,0,345800,224200,
0,0,0,353000,217000,
0,0,0,359000,211000,
0,0,0,351600,218400,
0,0,0,351600,218400,
0,0,0,358800,211200,
0,0,0,358800,211200,
0,0,0,358500,211500,
0,0,0,354300,215700,
0,0,0,356100,213900,
0,0,0,348900,221100,
0,0,0,348900,221100,
0,0,0,348600,221400,
0,0,0,349200,220800,
